policy_type,suite,task_id,task_name,init_state_id,seed,episode_id,run_id,model,source,control_mode,success,terminal_failure,num_steps,observed_step_rows,step_idx_min,step_idx_max,step_indices_contiguous,reward_sum,max_reward,done_any,instruction,bddl_file,video_path,heuristic_version,heuristic_failure_label,heuristic_close_cycles,heuristic_held_fraction_closed_steps,heuristic_ever_held,heuristic_max_lift_m,heuristic_closed_on_air_fraction
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,7,libero_spatial/0/0/7,rollout-openvla,,libero,relative,true,,84,84,0,83,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__0__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,7,libero_spatial/0/1/7,rollout-openvla,,libero,relative,true,,84,84,0,83,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__1__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,7,libero_spatial/0/2/7,rollout-openvla,,libero,relative,true,,80,80,0,79,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__2__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,3,7,libero_spatial/0/3/7,rollout-openvla,,libero,relative,true,,77,77,0,76,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__3__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,4,7,libero_spatial/0/4/7,rollout-openvla,,libero,relative,true,,94,94,0,93,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__4__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,5,7,libero_spatial/0/5/7,rollout-openvla,,libero,relative,true,,76,76,0,75,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__5__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,6,7,libero_spatial/0/6/7,rollout-openvla,,libero,relative,true,,77,77,0,76,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__6__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,7,7,libero_spatial/0/7/7,rollout-openvla,,libero,relative,true,,81,81,0,80,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__7__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,8,7,libero_spatial/0/8/7,rollout-openvla,,libero,relative,true,,91,91,0,90,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__8__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,9,7,libero_spatial/0/9/7,rollout-openvla,,libero,relative,true,,83,83,0,82,true,1,1,true,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__0__9__7__success.mp4,failure-signatures-v1,not_applicable_success,,,,,
openvla,libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,7,libero_spatial/1/0/7,rollout-openvla,,libero,relative,false,unlabeled,250,250,0,249,true,0,0,false,pick up the black bowl next to the ramekin and place it on the plate,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl,/outputs/videos/openvla/libero_spatial__1__0__7__fail.mp4,failure-signatures-v1,repeated_close_candidate,23,0.65625,true,0.14655071497,0.1015625
